연번,업종명,업소명,영업소 주소(도로명),소재지전화,객실수,한실수,양실수
57,숙박업(일반),호텔3월,"대전광역시 서구 둔산중로32번길 29, 1~9층 (둔산동)",042-825-8000,49,0,49
58,숙박업(일반),호텔디에디션,"대전광역시 서구 둔산남로91번길 13, 호텔 디 에디션 3층~13층 (둔산동)",042-550-6000,140,0,140
59,숙박업(생활),그레이스,"대전광역시 서구 도마3길 14, 1~3층 (도마동)",042-527-6860,19,19,0
60,숙박업(생활),이안레지던스호텔,"대전광역시 서구 둔산로65번길 29, 1~10층 (둔산동)",042-487-3939,70,0,70
61,숙박업(생활),굿모닝레지던스호텔휴운영 주식회사,"대전광역시 서구 둔산로73번길 21, 1~11층 (둔산동)",042-489-4000,134,0,134
62,숙박업(생활),레지던스호텔 라 미아,"대전광역시 서구 둔산로51번길 42, 2~10층 (둔산동)",042-334-0100,106,3,103
63,숙박업(생활),호텔그레이톤둔산,"대전광역시 서구 둔산중로 70, 3층~15층 (둔산동)",042-483-3100,211,7,204
64,숙박업(생활),토요코인 대전정부청사앞,"대전광역시 서구 둔산중로134번길 13, 15~18층 (둔산동)",042-486-4700,67,0,67
65,숙박업(생활),마치호텔,"대전광역시 서구 둔산중로64번길 20, 2~12층 (둔산동)",042-489-9640,128,0,128
66,숙박업(생활),그랜드캐슬,"대전광역시 서구 문정로89번길 33, 그랜드캐슬 3~15층 (탄방동)",,103,0,103
67,숙박업(생활),레지던스호텔라인,"대전광역시 서구 둔산로51번길 76, 2층~12층 (둔산동)",042-477-0020,118,0,118
68,숙박업(생활),위너팰리스,"대전광역시 서구 둔산중로64번길 26, 위너펠리스 3층~15층 (둔산동)",,77,77,0
69,숙박업(생활),봉쥬르카운티2,"대전광역시 서구 둔산로65번길 24, 봉쥬르카운티2 2층~20층 (둔산동)",,133,0,133
70,숙박업(생활),봉쥬르카운티,"대전광역시 서구 둔산중로64번길 25, 2~15층 (둔산동)",,131,131,0
