업종명,업소명,영업소 주소(도로명),우편번호(도로명),소재지전화,데이터기준일자
숙박업(일반),셰이프모텔,대전광역시 대덕구 중리로7번길 14-22 (중리동),34394,042-622-8192,2024-08-13
숙박업(일반),타임모텔,대전광역시 대덕구 덕암로148번길 34 (상서동),34334,042-931-9989,2024-08-13
숙박업(일반),아로마모텔,대전광역시 대덕구 신탄진동로7번길 29 (신탄진동),34311,042-935-2333,2024-08-13
숙박업(일반),스타파크,대전광역시 대덕구 중리로7번길 6-24 (중리동),34394,042-633-0888,2024-08-13
숙박업(일반),호텔로드,대전광역시 대덕구 신탄진로810번길 50 (신탄진동),34310,042-935-6553,2024-08-13
숙박업(일반),잉카호텔,대전광역시 대덕구 중리로7번길 22 (중리동),34394,042-627-1010,2024-08-13
숙박업(일반),아트빈,대전광역시 대덕구 한밭대로1149번길 21 (중리동),34395,042-638-6157,2024-08-13
숙박업(일반),에이스모텔,대전광역시 대덕구 한밭대로1149번길 25-11 (중리동),34395,042-624-5954,2024-08-13
숙박업(일반),스카이호텔,대전광역시 대덕구 신탄진동로23번길 43 (신탄진동),34311,042-936-1155,2024-08-13
숙박업(일반),클래스모텔,대전광역시 대덕구 한밭대로1149번길 15-6 (중리동),34395,042-633-9271,2024-08-13
숙박업(일반),시카고모텔,대전광역시 대덕구 신탄진동로23번길 65 (신탄진동),34311,042-933-3888,2024-08-13
숙박업(일반),옷샘여관,대전광역시 대덕구 송촌남로 61 (송촌동),34424,042-673-8921,2024-08-13
숙박업(일반),호텔지세븐,대전광역시 대덕구 중리남로 53 (중리동),34395,042-624-8808,2024-08-13
숙박업(일반),카펠라모텔,대전광역시 대덕구 한밭대로1149번길 15-5 (중리동),34395,042-625-0033,2024-08-13
숙박업(일반),리베라호텔,대전광역시 대덕구 중리로7번길 6-9 (중리동),34394,042-627-7012,2024-08-13
숙박업(일반),라움호텔,대전광역시 대덕구 한밭대로1149번길 25-6 (중리동),34395,042-626-0022,2024-08-13
숙박업(일반),캐슬,대전광역시 대덕구 중리남로 51 (중리동),34395,042-635-3535,2024-08-13
숙박업(일반),페이지호텔,대전광역시 대덕구 중리로7번길 14-5 (중리동),34394,042-633-7747,2024-08-13
숙박업(일반),둥지모텔,대전광역시 대덕구 중리로7번길 6 (중리동),34394,042-627-2032,2024-08-13
숙박업(일반),리치호텔,대전광역시 대덕구 중리로7번길 6-15 (중리동),34394,042-624-2245,2024-08-13
숙박업(일반),두바이호텔,대전광역시 대덕구 신탄진로790번길 46 (신탄진동),34310,042-935-8897,2024-08-13
숙박업(일반),로하스모텔,대전광역시 대덕구 신탄진동로23번길 77 (신탄진동),34311,042-933-0646,2024-08-13
숙박업(일반),팜스모텔,대전광역시 대덕구 중리로7번길 14-16 (중리동),34394,042-624-4886,2024-08-13
숙박업(일반),립스모텔,"대전광역시 대덕구 중리로7번길 14-19, 1~3층 (중리동)",34394,042-623-3100,2024-08-13
숙박업(일반),더에이치,대전광역시 대덕구 신탄진동로23번길 58 (신탄진동),34309,042-932-0005,2024-08-13
숙박업(일반),나루무인텔,대전광역시 대덕구 신탄진동로7번길 24 (신탄진동),34311,042-933-7727,2024-08-13
숙박업(일반),스테이아야나(STAY AYANA),대전광역시 대덕구 덕암로148번길 30 (상서동),34334,042-932-9031,2024-08-13
숙박업(일반),세도나모텔,대전광역시 대덕구 한밭대로1129번길 30 (중리동),34394,042-628-4700,2024-08-13
숙박업(일반),피닉스모텔,대전광역시 대덕구 중리로7번길 14-23 (중리동),34394,042-626-2208,2024-08-13
