업체명,주소,전화번호
HI호텔,대전광역시 동구 용운로 169 (용운동),042-283-4401
르비쥬모텔,대전광역시 대덕구 중리남로 53 (중리동),042-624-8808
잉카모텔,대전광역시 대덕구 중리로7번길 22 (중리동),042-627-1010
리무진모텔,대전광역시 중구 중앙로129번길 28 (선화동),042-254-0953
헐리우드 모텔,대전광역시 유성구 한밭대로492번길 16-26 (봉명동),042-822-9701
에이스모텔,대전광역시 대덕구 한밭대로1149번길 25-11 (중리동),042-625-5954
아미조 모텔,대전광역시 대덕구 한밭대로1149번길 25-6 (중리동),042-626-0022
콩모텔,대전광역시 중구 대종로602번길 13 (선화동),042-221-4655
뤼파인드호텔,대전광역시 중구 대종로584번길 41 (선화동),042-254-2842
베르사유 모텔,대전광역시 중구 동서대로1456번길 51 (선화동),042-255-5724
모노그리스모텔,대전광역시 중구 대종로594번길 29 (선화동),042-254-7031
캘리포니아,대전광역시 중구 대종로594번길 28 (선화동),042-252-7999
카이텔 모텔,대전광역시 중구 동서대로1466번길 54 (선화동),042-257-8835
베르사체 모텔,대전광역시 중구 대종로 594번길 51,042-254-7012
오클랜드,대전광역시 중구 대종로 594번길 55,042-255-9700
고추잠자리 모텔,대전광역시 중구 대종로594번길 43 (선화동),042-251-9115
래미안모텔,대전광역시 중구 대종로594번길 37 (선화동),042-251-8000
올리비아,대전광역시 중구 동서대로 1456번길 57,042-257-9250
시드니모텔,대전광역시 중구 대종로584번길 43 (선화동),042-223-2552
디오스모텔,대전광역시 중구 대종로584번길 49 (선화동),042-253-2886
경원장모텔,대전광역시 유성구 온천서로 32-24 (봉명동),042-822-8820
리츠텔,대전광역시 유성구 온천북로 26 (봉명동),042-824-7777
호텔메이,대전광역시 유성구 계룡로105번길 25 (봉명동),042-823-4664
LOD호텔(엘오디),대전광역시 유성구 온천서로 30-15 (봉명동),042-823-3620
럭셔리모텔,대전광역시 유성구 온천서로 30-10 (봉명동),042-824-0652
루이스,대전광역시 유성구 온천서로 32-16 (봉명동),042-826-0044
아이무인호텔,대전광역시 유성구 온천북로33번길 8-27 (봉명동),042-825-7510
아트모텔,대전광역시 유성구 온천서로 32-12 (봉명동),042-823-2988
에이스모텔,대전광역시 유성구 계룡로141번길 13-21 (봉명동),042-823-0511
까펠라모텔,대전광역시 유성구 한밭대로492번길 16-32 (봉명동),042-823-0953
송암파크,대전광역시 유성구 계룡로87번길 66 (봉명동),042-824-4459
카펠라모텔,대전광역시 대덕구 한밭대로1149번길 15-5 (중리동),042-625-0033
시네마모텔,대전광역시 대덕구 중리남로 51 (중리동),042-635-3535
힐튼모텔,대전광역시 유성구 문화원로6번길 114 (장대동),042-825-1133
퀸모텔,대전광역시 유성구 계룡로123번길 12 (봉명동),042-824-9944
모아파크,대전광역시 유성구 계룡로141번길 29-12 (봉명동),042-824-0622
파로스모텔,대전광역시 유성구 한밭대로492번길 26-28 (봉명동),042-824-0830
체리모텔,대전광역시 유성구 온천북로 76 (봉명동),042-823-2756
자우리호텔도안신도시점,대전광역시 유성구 계룡로 157 (봉명동),042-823-8011
스마일모텔,대전광역시 유성구 계룡로141번길 8-15 (봉명동),042-825-0266
케이쎄븐모텔,대전광역시 유성구 계룡로87번길 65 (봉명동),042-867-5775
런던파크,대전광역시 유성구 계룡로141번길 13-11 (봉명동),042-825-6063
오늘,대전광역시 유성구 온천북로 37 (봉명동),042-823-5999
탑클라우드(대전점),대전광역시 유성구 온천로101번길 20 (봉명동),042-825-1470
로데오 모텔,대전광역시 서구 둔산로31번길 34 (둔산동),042-471-6868
호텔저스트슬립유성온천점,대전광역시 유성구 온천로101번길 10-1 (봉명동),042-822-1750
W모텔,대전광역시 유성구 온천북로 8 (봉명동),042-825-1123
세도나 모텔,대전광역시 동구 동서대로1725번길 40 (용전동),042-621-9528
리무진 모텔,대전광역시 동구 한밭대로1314번길 34 (용전동),042-621-1004
샵모텔,대전광역시 동구 동서대로 1715-9 (용전동),042-637-9090
굿타임모텔,대전광역시 동구 동서대로1705번길 67 (용전동),042-625-4877
보보스모텔,대전광역시 동구 동서대로1725번길 10 (용전동),042-625-2100
시네마모텔,대전광역시 동구 동서대로1705번길 42 (용전동),042-628-8686
수 모텔,대전광역시 서구 둔산로65번길 34 (둔산동),042-472-1085
삼호자 객관,대전광역시 서구 둔산로65번길 75 (둔산동),042-483-5995
MVG 모텔,대전광역시 동구 동서대로1705번길 58-36 77-22,042-627-3535
J모텔,대전광역시 동구 한밭대로1314번길 27 78-29,042-639-5600
해피타워,대전광역시 동구 동서대로 1725 22 (용전동),042-623-9993
모텔폴라리스,대전광역시 동구 한밭대로1316번길 2 (용전동),042-635-7861
클래스모텔,대전광역시 대덕구 한밭대로1149번길 15-6 (중리동),042-633-9271
두바이모텔,대전광역시 대덕구 신탄진로790번길 46 (신탄진동),042-935-8897
로하스모텔,대전광역시 대덕구 신탄진동로23번길 77 (신탄진동),042-933-0646
거기모텔,대전광역시 대덕구 신탄진동로7번안길 38 (신탄진동),042-933-5455
시카고모텔,대전광역시 대덕구 신탄진동로23번길 65 (신탄진동),042-933-3888
이안레지던스 호텔,대전광역시 서구 둔산로65번길 29 (둔산동),042-487-3939
크리스탈 모텔,대전광역시 서구 도산로369번길 29 (용문동),042-524-0770
투에스(2S)모텔,대전광역시 서구 월평로 53-9 (월평동),042-486-3333
워커힐모텔,대전광역시 서구 월평로 47 (월평동),042-489-7720
오딧세이 모텔,대전광역시 유성구 계룡로155번길 27 (봉명동),042-822-7278
스파타워 모텔,대전광역시 유성구 온천로107번길 40 (봉명동),042-824-0637
발렌타인 모텔,대전광역시 유성구 장대로 20-19 (장대동),042-825-2100
헤라모텔,대전광역시 유성구 온천로107번길 23 (봉명동),042-823-5775
뉴 큐피트 모텔,대전광역시 유성구 장대로 16-18 (봉명동) 042-825-8505,042-825-8505
피카소 모텔,대전광역시 유성구 장대로 16-20 (봉명동),042-825-3288
하루,대전광역시 유성구 온천동로65번길 42 (봉명동),042-823-9433
잉카의태양,대전광역시 유성구 온천북로 69 (봉명동),042-826-6700
맨하탄모텔,대전광역시 유성구 온천북로33번길 7-14 (봉명동),042-824-3311
더샾모텔,대전광역시 유성구 온천북로 53 (봉명동),042-822-0450
시애틀모텔,대전광역시 유성구 온천북로 24 (봉명동),042-824-3070
파라곤모텔,대전광역시 유성구 계룡로87번길 72 (봉명동),042-825-4646
시나브로모텔,대전광역시 유성구 온천북로59번길 9 (봉명동),042-823-5832
렉시호텔,대전광역시 유성구 온천로107번길 37 (봉명동),042-824-7738
드라마모텔,대전광역시 유성구 온천서로 2 (봉명동),042-824-3399
투엑스,대전광역시 유성구 문화원로 116 (봉명동),042-825-5701
시네마이텔,대전광역시 유성구 대학로 8 (봉명동),042-824-6868
오백호모텔,대전광역시 유성구 대학로 55-10 (봉명동),042-824-0995
앙상블모텔,대전광역시 유성구 계룡로59번길 23 (봉명동),042-824-1333
퀸스타운모텔,대전광역시 유성구 계룡로105번길 74 (봉명동),042-822-8696
오페라모텔,대전광역시 유성구 온천북로 65-9 (봉명동),042-824-9277
호텔루키,대전광역시 중구 대흥로158번길 25 (대흥동),042-221-8383
별모텔,대전광역시 대덕구 동서대로1748번길 11 (비래동),042-672-0789
장수여관,대전광역시 대덕구 우암로 441 (비래동),042-622-8884
금호여관,대전광역시 대덕구 대전로 1139 (오정동),042-632-9255
큐모텔,대전광역시 대덕구 오정로76번길 77 (오정동),042-622-7799
금강장여관,대전광역시 대덕구 신탄진로810번길 15 (신탄진동),042-932-6262
(주)더휴식 소륜대전지점,대전광역시 대덕구 대전로 1394 (읍내동),042-672-7777
대청파크,대전광역시 대덕구 덕암로148번길 24 (상서동),042-931-2407
서원장,대전광역시 대덕구 덕암로265번길 59 (덕암동),042-932-5785
연희여인숙,대전광역시 대덕구 신탄진동로7번길 41 (신탄진동),042-933-6949
월호텔,대전광역시 대덕구 신탄진로681번길 44 (덕암동),042-932-7868
드래곤캐슬모텔,대전광역시 대덕구 중리로7번길 14-9 (중리동),070-5056-0970
서울파크,대전광역시 대덕구 신탄진로810번길 41 (신탄진동),042-931-3161
행복장여관,대전광역시 대덕구 신탄진동로7번길 45 (신탄진동),042-932-8689
해와달모텔,대전광역시 대덕구 신탄진동로23번길 73 (신탄진동),042-933-7896
23번가,대전광역시 대덕구 신탄진동로23번길 69 (신탄진동),042-931-2320
아리아파크,대전광역시 대덕구 신탄진동로7번길 39 (신탄진동),042-932-4642
한양모텔,대전광역시 대덕구 중리로7번길 14-20 (중리동),042-632-0066
저스트스테이호텔 신탄진역점,대전광역시 대덕구 신탄진동로23번길 60 (신탄진동),042-933-1773
보람파크,대전광역시 대덕구 신탄진로810번길 31 (신탄진동),042-931-8133
만년모텔,대전광역시 대덕구 중리로7번길 6-14 (중리동),042-632-6767
500th모텔,대전광역시 대덕구 신탄진로810번길 56 (신탄진동),042-933-0586
청실모텔,대전광역시 대덕구 한밭대로1129번길 26 (중리동),042-621-7774
로얄파크,대전광역시 대덕구 신탄진로796번길 52 (신탄진동),042-934-6861
아우디모텔,대전광역시 대덕구 신탄진로810번길 46 (신탄진동),042-935-5650
호텔아느로,대전광역시 대덕구 한밭대로1149번길 15-9 (중리동),042-634-5551
호텔어반브라운,대전광역시 대덕구 한밭대로1149번길 15-11 (중리동),042-633-8042
란모텔,대전광역시 대덕구 중리로7번길 14-10 (중리동),042-633-7111
럭셔리모텔,대전광역시 대덕구 신탄진동로7번길 32 (신탄진동),042-621-3510
그랜드파크,대전광역시 대덕구 신탄진로218번길 57-9 (와동),042-634-5539
블루모텔,대전광역시 대덕구 신탄진동로35번길 5 (신탄진동),042-935-5557
밀라노모텔,대전광역시 대덕구 한밭대로1149번길 33 (중리동),042-624-8802
알프스파크,대전광역시 대덕구 신탄진로790번길 44 (신탄진동),042-934-5000
청산파크,대전광역시 대덕구 신탄진로844번길 26 (신탄진동),042-933-8266
투유파크,대전광역시 대덕구 신탄진동로 29 (신탄진동),042-933-9052
휠모텔,대전광역시 대덕구 중리로21번길 23 (중리동),042-631-8777
프로포즈모텔,대전광역시 대덕구 중리로7번길 18 (중리동),042-635-2325
삼오모텔,대전광역시 대덕구 신탄진동로7번안길 23 (신탄진동),042-933-0035
만월호텔 중리점,대전광역시 대덕구 중리로7번길 14-17 (중리동),042-625-8777
모텔하얏트,대전광역시 대덕구 신탄진로810번길 33 (신탄진동),042-931-0336
신탄진페이지,대전광역시 대덕구 신탄진동로35번길 9 (신탄진동),042-934-7751
호텔나인,대전광역시 대덕구 한밭대로1149번길 19 (중리동),042-621-3550
꿈의궁전,대전광역시 대덕구 신탄진로810번길 54 (신탄진동),042-931-0103
발렌타인,대전광역시 대덕구 신탄진로790번길 40 (신탄진동),042-934-6223
큐모텔,대전광역시 대덕구 중리로7번길 6-7 (중리동),042-633-3517
썸모텔,대전광역시 대덕구 중리로7번길 6-23 (중리동),042-632-8818
에스모텔(S모텔),대전광역시 대덕구 중리로7번길 6-8 (중리동),042-632-4916
큐모텔,대전광역시 대덕구 신탄진로804번길 5 (신탄진동),042-931-5797
세영모텔,대전광역시 대덕구 신탄진로804번길 7 (신탄진동),042-932-8525
호텔잠,대전광역시 대덕구 신탄진동로7번안길 38 (신탄진동),042-933-5455
레드파크,대전광역시 대덕구 신탄진동로 27 (신탄진동),042-933-3274
모텔로망스,대전광역시 대덕구 신탄진동로7번안길 24 (신탄진동),042-932-0096
프린스파크,대전광역시 대덕구 신탄진동로 33 (신탄진동),042-932-0113
귀빈모텔,대전광역시 대덕구 중리로7번길 6-10 (중리동),042-631-9194
저스트슬립호텔 신탄진역점,대전광역시 대덕구 신탄진로810번길 32 (신탄진동),042-932-4600
셰이프모텔,대전광역시 대덕구 중리로7번길 14-22 (중리동),042-622-8192
타임모텔,대전광역시 대덕구 덕암로148번길 34 (상서동),042-931-9989
아로마모텔,대전광역시 대덕구 신탄진동로7번길 29 (신탄진동),042-935-2333
스타파크,대전광역시 대덕구 중리로7번길 6-24 (중리동),042-633-0888
호텔로드,대전광역시 대덕구 신탄진로810번길 50 (신탄진동),042-935-6553
잉카호텔,대전광역시 대덕구 중리로7번길 22 (중리동),042-627-1010
아트빈,대전광역시 대덕구 한밭대로1149번길 21 (중리동),042-638-6157
에이스모텔,대전광역시 대덕구 한밭대로1149번길 25-11 (중리동),042-624-5954
스카이호텔,대전광역시 대덕구 신탄진동로23번길 43 (신탄진동),042-936-1155
클래스모텔,대전광역시 대덕구 한밭대로1149번길 15-6 (중리동),042-633-9271
시카고모텔,대전광역시 대덕구 신탄진동로23번길 65 (신탄진동),042-933-3888
옷샘여관,대전광역시 대덕구 송촌남로 61 (송촌동),042-673-8921
호텔지세븐,대전광역시 대덕구 중리남로 53 (중리동),042-624-8808
카펠라모텔,대전광역시 대덕구 한밭대로1149번길 15-5 (중리동),042-625-0033
리베라호텔,대전광역시 대덕구 중리로7번길 6-9 (중리동),042-627-7012
라움호텔,대전광역시 대덕구 한밭대로1149번길 25-6 (중리동),042-626-0022
캐슬,대전광역시 대덕구 중리남로 51 (중리동),042-635-3535
페이지호텔,대전광역시 대덕구 중리로7번길 14-5 (중리동),042-633-7747
둥지모텔,대전광역시 대덕구 중리로7번길 6 (중리동),042-627-2032
리치호텔,대전광역시 대덕구 중리로7번길 6-15 (중리동),042-624-2245
두바이호텔,대전광역시 대덕구 신탄진로790번길 46 (신탄진동),042-935-8897
로하스모텔,대전광역시 대덕구 신탄진동로23번길 77 (신탄진동),042-933-0646
팜스모텔,대전광역시 대덕구 중리로7번길 14-16 (중리동),042-624-4886
립스모텔,"대전광역시 대덕구 중리로7번길 14-19, 1~3층 (중리동)",042-623-3100
더에이치,대전광역시 대덕구 신탄진동로23번길 58 (신탄진동),042-932-0005
나루무인텔,대전광역시 대덕구 신탄진동로7번길 24 (신탄진동),042-933-7727
스테이아야나(STAY AYANA),대전광역시 대덕구 덕암로148번길 30 (상서동),042-932-9031
세도나모텔,대전광역시 대덕구 한밭대로1129번길 30 (중리동),042-628-4700
피닉스모텔,대전광역시 대덕구 중리로7번길 14-23 (중리동),042-626-2208
무명여관,대전광역시 서구 계룡로620번길 7 (용문동),042-523-9401
신온장여관,대전광역시 서구 도산로 216 (변동),042-523-1388
청수파크,대전광역시 서구 계룡로636번길 14-27 (용문동),042-535-5022
백운장여관,대전광역시 서구 가장로 128 (가장동),042-533-4321
용문파크,대전광역시 서구 도산로 378 (용문동),042-536-5222
모텔퀸,대전광역시 서구 도마3길 26 (도마동),042-522-8895
엠모텔,대전광역시 서구 도솔5길 5 (도마동),042-534-4251
동경,대전광역시 서구 변동로 48-17 (변동),042-524-9952
맥(MAC)Ⅱ,대전광역시 서구 계룡로636번길 14-19 (용문동),042-523-2255
JNK(제이앤케이)모텔,대전광역시 서구 계룡로620번길 32 (괴정동),042-525-0932
더봄호텔,대전광역시 서구 용문로 45 (괴정동),042-522-0516
맥(MAC),대전광역시 서구 계룡로636번길 14-17 (용문동),042-534-1158
스테이큐용문,대전광역시 서구 계룡로636번길 14-15 (용문동),0507-1328-8046
보보스모텔,대전광역시 서구 용문로 41-54 (괴정동),042-527-0671
모텔카카오,대전광역시 서구 계룡로620번길 49 (용문동),042-528-1515
올리브모텔,대전광역시 서구 용문로 41-30 (괴정동),042-533-6005
호텔컨티뉴대전점,대전광역시 서구 월평로 53-9 (월평동),042-486-3333
자자,대전광역시 서구 계룡로620번길 33 (용문동),042-527-9940
호텔카카오2호점,대전광역시 서구 용문로 53 (괴정동),042-531-5595
모텔 하니,"대전광역시 서구 월평북로 88-16, 4,5층 (월평동)",042-489-1801
블랙호텔,대전광역시 서구 용문로 65 (용문동),042-535-0070
그리피스모텔,대전광역시 서구 용문로 49 (괴정동),042-531-9000
워커힐모텔,대전광역시 서구 월평로 47 (월평동),042-489-7720
더블유모텔,대전광역시 서구 용문로 67 (용문동),042-537-6666
로데오모텔,대전광역시 서구 둔산로31번길 34 (둔산동),042-471-6868
포시즌모텔,"대전광역시 서구 둔산남로105번길 32, 3~6층 (둔산동)",042-471-5335
W모텔,대전광역시 서구 월평북로 88-10 (월평동),042-488-8778
호텔무인텔,대전광역시 서구 장안로 354-20 (장안동),042-585-0751
더호텔아리아,대전광역시 서구 대덕대로234번길 21 (둔산동),042-471-0831
갤러리모텔,대전광역시 서구 둔산남로 98-16 (탄방동),042-476-4100
오백호모텔,대전광역시 서구 둔산로65번길 39 (둔산동),042-471-3361
호텔데이즈(Hotel DAYS),대전광역시 서구 둔산남로 98-11 (탄방동),042-483-4301
샘보석사우나모텔,대전광역시 서구 청사로123번길 38 (월평동),042-487-3003
디엠프레스호텔,대전광역시 서구 한밭대로570번길 29-20 (월평동),042-485-3030
모텔코보스,대전광역시 서구 둔산로73번길 25 (둔산동),042-471-0533
대전브라운도트 월평점,"대전광역시 서구 월평로 53-8, 3~7층 (월평동)",042-482-9625
리더스모텔,대전광역시 서구 둔산로73번길 37 (둔산동),042-486-9796
저스트슬립호텔 대전둔산점,"대전광역시 서구 둔산로137번길 21, 6~7층 (둔산동)",042-472-8469
호텔프라이데이(Hotel Friday),"대전광역시 서구 둔산중로58번길 35 (둔산동,(3-6층))",042-471-5380
호텔레인보우,"대전광역시 서구 월평로 53-10 (월평동,B동)",042-476-1818
HOTEL LUIS(호텔루이스),"대전광역시 서구 둔산중로40번길 19 (둔산동,5.6.7층)",042-483-0061
호텔어썸,대전광역시 서구 도산로369번길 29 (용문동),042-524-0770
휴앤유관광호텔,대전광역시 서구 한밭대로570번길 29-12 (월평동),042-471-8002
탑모텔,대전광역시 서구 계룡로636번길 15 (용문동),042-534-2772
호텔카라,대전광역시 서구 월평로 57 (월평동),042-478-5533
수모텔,대전광역시 서구 둔산로65번길 34 (둔산동),042-472-1085
미드멜리호텔,"대전광역시 서구 둔산중로40번길 27 (둔산동,(3~7층))",042-487-3009
에스엠호텔,대전광역시 서구 계룡로636번길 14-13 (용문동),042-533-1848
아이엔지,대전광역시 서구 둔산중로40번길 34 (둔산동),042-471-0071
프라임모텔,대전광역시 서구 둔산로65번길 30 (둔산동),042-482-5646
로또,"대전광역시 서구 대덕대로234번길 29 (둔산동,(5~8층))",042-485-2288
부띠크호텔락희,대전광역시 서구 대덕대로220번길 23 (둔산동),042-482-0100
토요코인 대전정부청사앞,대전광역시 서구 둔산중로134번길 13 (둔산동),042-545-1045
썸무인텔,"대전광역시 서구 계룡로636번길 24, 1~6층동 (용문동)",042-526-1247
호텔3월,"대전광역시 서구 둔산중로32번길 29, 1~9층 (둔산동)",042-825-8000
호텔디에디션,"대전광역시 서구 둔산남로91번길 13, 호텔 디 에디션 3층~13층 (둔산동)",042-550-6000
그레이스,"대전광역시 서구 도마3길 14, 1~3층 (도마동)",042-527-6860
이안레지던스호텔,"대전광역시 서구 둔산로65번길 29, 1~10층 (둔산동)",042-487-3939
굿모닝레지던스호텔휴운영 주식회사,"대전광역시 서구 둔산로73번길 21, 1~11층 (둔산동)",042-489-4000
레지던스호텔 라 미아,"대전광역시 서구 둔산로51번길 42, 2~10층 (둔산동)",042-334-0100
호텔그레이톤둔산,"대전광역시 서구 둔산중로 70, 3층~15층 (둔산동)",042-483-3100
토요코인 대전정부청사앞,"대전광역시 서구 둔산중로134번길 13, 15~18층 (둔산동)",042-486-4700
마치호텔,"대전광역시 서구 둔산중로64번길 20, 2~12층 (둔산동)",042-489-9640
레지던스호텔라인,"대전광역시 서구 둔산로51번길 76, 2층~12층 (둔산동)",042-477-0020
첼로파크여관,대전광역시 중구 목척7길 30 (은행동),042-226-6226
한성여인숙,대전광역시 중구 동서대로1327번길 1 (용두동),042-257-7562
화성모텔,대전광역시 중구 충무로 160-1 (문창동),042-271-7198
남도 여인숙,대전광역시 중구 오류로 19-11 (오류동),042-523-8923
영일장,대전광역시 중구 목척1길 11 (은행동),042-252-3232
둥지파크,"대전광역시 중구 목척1길 50 (은행동,,4)",042-255-1250
에이스텔,대전광역시 중구 유등천동로 326-10 (산성동),042-583-4503
허브모텔,대전광역시 중구 목척1길 29 (은행동),042-253-2525
동양여관,대전광역시 중구 대흥로111번길 30-10 (대흥동),042-221-4334
그린파크,대전광역시 중구 유등천동로324번길 16 (산성동),042-582-4487
정림여관,대전광역시 중구 목척9길 22 (은행동),042-256-9587
만월호텔대흥점,"대전광역시 중구 대흥로165번길 35, 1-6층 (대흥동)",042-223-6778
자스민모텔,대전광역시 중구 중앙로112번길 42 (대흥동),042-256-8006
안흥여관,대전광역시 중구 목척2길 45 (은행동),042-256-8249
백제장여관,대전광역시 중구 중앙로16번길 19-11 (문화동),042-253-9291
고향여관,대전광역시 중구 유천로 57-30 (유천동),042-584-1043
대명장여관,대전광역시 중구 대둔산로509번길 29 (유천동),042-582-6412
한밭여관,대전광역시 중구 계룡로955번길 36 (대흥동),042-256-1698
국향장여관,대전광역시 중구 선화로 120 (선화동),042-226-2050
월드파크,대전광역시 중구 오류로 64 (오류동),042-525-4321
만금장여관,대전광역시 중구 충무로 85-1 (대사동),042-253-0727
수정장여관,대전광역시 중구 태평로 185 (태평동),042-533-2277
로즈모텔,대전광역시 중구 태평로 183 (태평동),042-525-9455
천운장모텔,대전광역시 중구 대흥로175번길 11 (대흥동),042-253-2574
경성장여관,대전광역시 중구 대전천서로 419-7 (대흥동),042-254-6667
유림여관,대전광역시 중구 유천로47번길 102 (유천동),042-582-1698
뉴히딩크모텔,대전광역시 중구 유등천동로 324-1 (산성동),042-584-7798
세라돈여관,대전광역시 중구 대흥로 7-5 (문화동),042-254-6543
퀸모텔,대전광역시 중구 유등천동로324번길 28 (산성동),042-584-5135
일신모텔,대전광역시 중구 대전천서로 419 (대흥동),042-254-8001
한일장여관,대전광역시 중구 보문로 143 (대사동),042-257-3883
원앙파크,대전광역시 중구 인창로6번길 11 (대흥동),042-253-3681
안흥파크,대전광역시 중구 인창로28번길 27 (문창동),042-255-0351
3.3여관,대전광역시 중구 계백로1522번길 57 (유천동),042-585-5522
오류장여관,대전광역시 중구 오류로 77-1 (오류동),042-525-2989
예오장,"대전광역시 중구 문창로 101-21 (대흥동,,32)",042-255-0866
태림장여관,"대전광역시 중구 목척1길 20 (은행동,,3,4.)",042-256-3168
럭키장여관,대전광역시 중구 유천로 57 (유천동),042-581-1900
운현장여관,대전광역시 중구 대종로386번길 84 (문창동),042-252-7905
동백여관,대전광역시 중구 유천로47번길 116 (유천동),042-584-2570
거북 여인숙,대전광역시 중구 계백로1522번길 56 (유천동),042-583-1586
오렌지파크,대전광역시 중구 목척3길 36 (은행동),042-255-4045
은혜장여관,대전광역시 중구 문창로 109 (문창동),042-256-8812
봉봉장,대전광역시 중구 대종로386번길 71 (문창동),042-257-5749
장수장여관,대전광역시 중구 인창로 36 (문창동),042-255-9677
황토방모텔,대전광역시 중구 목척7길 32 (은행동),042-256-8828
아리장여관,대전광역시 중구 문창로94번길 37 (문창동),042-254-1117
큐모텔,대전광역시 중구 계룡로874번길 103 (오류동),042-526-4872
그린파크,대전광역시 중구 문창로90번길 33 (문창동),042-252-9033
프라임모텔,대전광역시 중구 문창로 109-16 (대흥동),042-252-2828
황소모텔,대전광역시 중구 유천로47번길 99 (유천동),042-585-7001
동화장여관,대전광역시 중구 인창로28번길 3 (문창동),042-254-6137
장미파크,대전광역시 중구 문창로 101-22 (대흥동),042-254-4992
보람장여관,대전광역시 중구 문창로98번길 15 (문창동),042-256-0828
호텔노크온(Knock on Hotel),대전광역시 중구 인창로 7 (대흥동),042-222-0055
로미오모텔,대전광역시 중구 유천로17번안길 50-9 (유천동),042-585-8580
백제장여관,대전광역시 중구 문창로90번길 31 (문창동),042-254-9940
홍인파크,대전광역시 중구 계백로1550번길 36 (유천동),042-582-3130
스카이모텔,대전광역시 중구 중앙로16번길 28 (문화동),042-226-0551
올림픽파크,대전광역시 중구 문창로90번길 29 (문창동),042-222-2828
베네치아,대전광역시 중구 유등천동로 326-8 (산성동),042-585-1333
수라모텔,대전광역시 중구 유천로17번안길 42 (유천동),042-582-9001
비앤비호텔,"대전광역시 중구 대흥로157번길 28, 3층 일부~9층 (대흥동)",042-266-2191
코자자,대전광역시 중구 유천로17번안길 36 (유천동),042-582-7405
리슈모텔,대전광역시 중구 유천로33번길 68 (유천동),042-584-8356
콩모텔유천점,대전광역시 중구 문화로87번길 60 (유천동),507-1380-0529
